"RAL 1000",205,186,136,#CDBA88,"Green beige"
"RAL 1001",208,176,132,#D0B084,Beige
"RAL 1002",210,170,109,#D2AA6D,"Sand yellow"
"RAL 1003",249,169,0,#F9A900,"Signal yellow"
"RAL 1004",228,158,0,#E49E00,"Golden yellow"
"RAL 1005",203,143,0,#CB8F00,"Honey yellow"
"RAL 1006",225,144,0,#E19000,"Maize yellow"
"RAL 1007",232,140,0,#E88C00,"Daffodil yellow"
"RAL 1011",175,128,80,#AF8050,"Brown beige"
"RAL 1012",221,175,40,#DDAF28,"Lemon yellow"
"RAL 1013",227,217,199,#E3D9C7,"Oyster white"
"RAL 1014",221,196,155,#DDC49B,Ivory
"RAL 1015",230,210,181,#E6D2B5,"Light ivory"
"RAL 1016",241,221,57,#F1DD39,"Sulfur yellow"
"RAL 1017",246,169,81,#F6A951,"Saffron yellow"
"RAL 1018",250,202,49,#FACA31,"Zinc yellow"
"RAL 1019",164,143,122,#A48F7A,"Grey beige"
"RAL 1020",160,143,101,#A08F65,"Olive yellow"
"RAL 1021",246,182,0,#F6B600,"Colza yellow"
"RAL 1023",247,181,0,#F7B500,"Traffic yellow"
"RAL 1024",186,143,76,#BA8F4C,"Ochre yellow"
"RAL 1026",255,255,0,#FFFF00,"Luminous yellow"
"RAL 1027",167,127,15,#A77F0F,Curry
"RAL 1028",255,156,0,#FF9C00,"Melon yellow"
"RAL 1032",226,163,0,#E2A300,"Broom yellow"
"RAL 1033",249,154,29,#F99A1D,"Dahlia yellow"
"RAL 1034",235,156,82,#EB9C52,"Pastel yellow"
"RAL 1035",143,131,112,#8F8370,"Pearl beige"
"RAL 1036",128,100,64,#806440,"Pearl gold"
"RAL 1037",240,146,0,#F09200,"Sun yellow"
"RAL 2000",218,110,0,#DA6E00,"Yellow orange"
"RAL 2001",186,72,28,#BA481C,"Red orange"
"RAL 2002",191,57,34,#BF3922,Vermilion
"RAL 2003",246,120,41,#F67829,"Pastel orange"
"RAL 2004",226,83,4,#E25304,"Pure orange"
"RAL 2005",255,77,8,#FF4D08,"Luminous orange"
"RAL 2007",255,178,0,#FFB200,"Luminous bright orange"
"RAL 2008",236,107,34,#EC6B22,"Bright red orange"
"RAL 2009",222,83,8,#DE5308,"Traffic orange"
"RAL 2010",208,93,41,#D05D29,"Signal orange"
"RAL 2011",226,110,15,#E26E0F,"Deep orange"
"RAL 2012",213,101,78,#D5654E,"Salmon orange"
"RAL 2013",146,62,37,#923E25,"Pearl orange"
"RAL 2017",252,85,0,#FC5500,"RAL orange"
"RAL 3000",167,41,32,#A72920,"Flame red"
"RAL 3001",155,36,35,#9B2423,"Signal red"
"RAL 3002",155,35,33,#9B2321,"Carmine red"
"RAL 3003",134,26,34,#861A22,"Ruby red"
"RAL 3004",107,28,35,#6B1C23,"Purple red"
"RAL 3005",89,25,31,#59191F,"Wine red"
"RAL 3007",62,32,34,#3E2022,"Black red"
